Symbol,AssetType,Name,Description,CIK,Exchange,Currency,Country,Sector,Industry,Address,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,EPS,RevenuePerShareTTM,ProfitMargin,OperatingMarginTTM,ReturnOnAssetsTTM,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding,DividendDate,ExDividendDate
AAOI,Common Stock,Applied Optoelectronics Inc,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber optic networking products globally. The company is headquartered in Sugar Land, Texas.",1158114,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"13115 JESS PIRTLE BLVD, SUGAR LAND, TX, US",December,2021-12-31,73782000,-20207000,None,0.51,9.32,0,0,-2.013,7.86,-0.256,-0.268,-0.0759,-0.203,211565000,37715000,-2.013,0,0.04,16.04,-,84.03,0.349,0.307,0.914,-,1.666,9.25,2.48,3.411,5.58,27530500,None,None
AAPL,Common Stock,Apple Inc,"Apple Inc. is an American multinational technology company that specializes in consumer electronics, computer software, and online services. Apple is the world's largest technology company by revenue (totalling $274.5 billion in 2020) and, since January 2021, the world's most valuable company. As of 2021, Apple is the world's fourth-largest PC vendor by unit sales, and fourth-largest smartphone manufacturer. It is one of the Big Five American information technology companies, along with Amazon, Google, Microsoft, and Facebook.",320193,NASDAQ,USD,USA,TECHNOLOGY,ELECTRONIC COMPUTERS,"ONE INFINITE LOOP, CUPERTINO, CA, US",September,2021-12-31,2555128578000,128217997000,26.03,3.111,4.402,0.865,0.0054,6.01,22.84,0.266,0.309,0.199,1.456,378323010000,152836000000,6.01,0.25,0.112,192.89,26.03,26.81,6.75,36.71,7.13,20.62,1.188,182.71,121.73,166.32,159.18,16319400000,2022-02-10,2022-02-04
ABM,Common Stock,ABM Industries Incorporated,"ABM Industries Incorporated provides integrated facility solutions in the United States and internationally. The company is headquartered in New York, New York.",771497,NYSE,USD,USA,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,"551 FIFTH AVENUE, SUITE 300, NEW YORK, NY, US",October,2022-01-31,3230446000,469700000,25.74,4.45,24.54,0.765,0.0163,1.877,98.74,0.0191,0.0561,0.0565,0.0792,6672400000,1022300000,1.877,0.009,0.297,59,25.74,-,0.484,2.163,0.702,15.62,1.216,54,38.1,46.3,45.4,66869000,2022-05-02,2022-04-06
ACEV,Common Stock,ACE Convergence Acquisition Corp,"ACE Convergence Acquisition Corp. The company is headquartered in Wilmington, Delaware.",1813658,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1013 CENTRE ROAD, SUITE 403S, WILMINGTON, DE, US",December,2021-12-31,140779000,None,49.7,None,0.174,0,0,0.203,0,0,0,-0.0188,0,0,0,0.203,8.27,0,None,49.7,-,-,0.695,-,-,None,10.37,9.82,10.05,9.96,8202300,None,None
ACEVU,Common Stock,ACE Convergence Acquisition Corp,"ACE Convergence Acquisition Corp. The company is headquartered in Wilmington, Delaware.",1813658,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1013 CENTRE ROAD, SUITE 403S, WILMINGTON, DE, US",December,2021-12-31,286350000,None,51.33,None,0.174,0,0,0.203,0,0,0,-0.0188,0,0,0,0.203,8.27,0,None,51.33,-,-,-,-,-,None,12.24,9.45,10.22,10.29,0,None,None
ACEVW,Common Stock,ACE Convergence Acquisition Corp,"ACE Convergence Acquisition Corp. The company is headquartered in Wilmington, Delaware.",1813658,NASDAQ,USD,USA,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,"1013 CENTRE ROAD, SUITE 403S, WILMINGTON, DE, US",December,2021-12-31,286925000,None,None,None,None,None,None,None,0,0,0,0,0,0,0,0,0,0,None,-,-,-,-,-,-,None,2.4,0.4,0,0,0,None,None
ACIW,Common Stock,ACI Worldwide Inc,"ACI Worldwide, Inc., a software company, develops, markets, installs and supports a variety of software products and solutions to facilitate electronic payments to banks, financial intermediaries, merchants and invoice issuers globally. The company is headquartered in Naples, Florida.",935036,NASDAQ,USD,USA,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,"3520 KRAFT ROAD, SUITE 300, NAPLES, FL, US",December,2021-12-31,3093581000,281190000,24.91,-3.24,10.76,0,0,1.08,11.67,0.0932,0.163,0.0426,0.104,1370598000,731727000,1.08,0.656,0.206,41.6,24.91,22.17,2.257,2.619,3.107,11.7,1.079,40.31,25.93,31.06,32.26,115003000,None,None
ACLS,Common Stock,Axcelis Technologies Inc,"Axcelis Technologies, Inc. designs, manufactures and services the ion implantation and other processing equipment used in the manufacture of semiconductor chips in the United States, Europe and Asia. The company is headquartered in Beverly, Massachusetts.",1113232,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","108 CHERRY HILL DRIVE, BEVERLY, MA, US",December,2021-12-31,1777918000,132843000,18.6,1.23,16.21,0,0,2.88,19.74,0.149,0.192,0.116,0.193,662428000,286445000,2.88,1.513,0.683,84.67,18.6,12.97,2.684,3.376,2.373,11.55,1.557,83.74,33.36,66.85,57.79,33182500,None,None
ACMR,Common Stock,ACM Research Inc,"ACM Research, Inc. develops, manufactures and sells single wafer wet cleaning equipment to improve the manufacturing process and performance of embedded chips globally. The company is headquartered in Fremont, California.",1680062,NASDAQ,USD,USA,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC","42307 OSGOOD ROAD, SUITE I, FREMONT, CA, US",December,2021-12-31,920847000,41055000,25.54,None,11.52,0,0,0.576,4.505,0.145,0.149,0.0347,0.0842,259751000,114856000,0.576,0.764,1.088,39.8,25.54,29.59,3.545,1.369,1.433,8.06,0.553,39.71,14.07,21.68,28.16,53650000,None,None
ACN,Common Stock,Accenture plc,"Accenture plc is an Irish-domiciled multinational company that provides consulting and processing services. It has been incorporated in Dublin, Ireland since 2009.",1467373,NYSE,USD,USA,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC","1 GRAND CANAL SQUARE, GRAND CANAL HARBOUR, DUBLIN, IE",August,2022-02-28,192137822000,9511400000,30.55,2.319,32.46,3.79,0.0122,9.92,89.46,0.113,0.151,0.127,0.324,56694923000,16364128000,9.92,0.139,0.245,380.96,30.55,28.74,3.389,9.57,3.438,18.52,1.235,415.05,273.76,322.92,342.3,633401000,2022-05-13,2022-04-13
