Symbol,Name,CIK,Sector,Industry,FiscalYearEnd,LatestQuarter,MarketCapitalization,EBITDA,PERatio,PEGRatio,BookValue,DividendPerShare,DividendYield,Dividend,EPS,EPSEorL,RevenuePerShareTTM,ProfitMargin,ProfitMarginPorN,OperatingMarginTTM,OperatingMarginTTMPorN,ReturnOnAssetsTTM,ReturnOnAssetsTTMPorN,ReturnOnEquityTTM,RevenueTTM,GrossProfitTTM,DilutedEPSTTM,QuarterlyEarningsGrowthYOY,QuarterlyEarningsGrowthYOYPorN,QuarterlyRevenueGrowthYOY,AnalystTargetPrice,TrailingPE,ForwardPE,PriceToSalesRatioTTM,PriceToBookRatio,EVToRevenue,EVToEBITDA,Beta,52WeekHigh,52WeekLow,50DayMovingAverage,200DayMovingAverage,SharesOutstanding
AAOI,Applied Optoelectronics Inc,1158114,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021-12-31,73782000.0,-20207000.0,,0.51,9.32,0.0,0.0,NO,-2.013,LOSS,7.86,-0.256,negative,-0.268,negative,-0.0759,negative,-0.203,211565000.0,37715000.0,-2.013,0.0,0,0.04,16.04,,84.03,0.349,0.307,0.914,,1.666,9.25,2.48,3.411,5.58,27530500
AAPL,Apple Inc,320193,TECHNOLOGY,ELECTRONIC COMPUTERS,September,2021-12-31,2560000000000.0,128000000000.0,26.03,3.111,4.402,0.865,0.0054,YES,6.01,Earn,22.84,0.266,positive,0.309,positive,0.19899999999999998,positive,1.456,378000000000.0,153000000000.0,6.01,0.25,positive,0.11199999999999999,192.89,26.03,26.81,6.75,36.71,7.13,20.62,1.188,182.71,121.73,166.32,159.18,16319400000
ABM,ABM Industries Incorporated,771497,TRADE & SERVICES,SERVICES-TO DWELLINGS & OTHER BUILDINGS,October,2022-01-31,3230446000.0,469700000.0,25.74,4.45,24.54,0.765,0.0163,YES,1.8769999999999998,Earn,98.74,0.0191,positive,0.0561,positive,0.0565,positive,0.0792,6672400000.0,1022300000.0,1.8769999999999998,0.009000000000000001,positive,0.297,59.0,25.74,,0.484,2.1630000000000003,0.7020000000000001,15.62,1.216,54.0,38.1,46.3,45.4,66869000
ACEV,ACE Convergence Acquisition Corp,1813658,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021-12-31,140779000.0,,49.7,,0.174,0.0,0.0,NO,0.203,Earn,0.0,0.0,0,0.0,0,-0.0188,negative,0.0,0.0,0.0,0.203,8.27,positive,0.0,,49.7,,,0.695,,,,10.37,9.82,10.05,9.96,8202300
ACEVU,ACE Convergence Acquisition Corp,1813658,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021-12-31,286350000.0,,51.33,,0.174,0.0,0.0,NO,0.203,Earn,0.0,0.0,0,0.0,0,-0.0188,negative,0.0,0.0,0.0,0.203,8.27,positive,0.0,,51.33,,,,,,,12.24,9.45,10.22,10.29,0
ACEVW,ACE Convergence Acquisition Corp,1813658,MANUFACTURING,SEMICONDUCTORS & RELATED DEVICES,December,2021-12-31,286925000.0,,,,,,,,,,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,,,,,,,,,2.4,0.4,0.0,0.0,0
ACIW,ACI Worldwide Inc,935036,TECHNOLOGY,SERVICES-PREPACKAGED SOFTWARE,December,2021-12-31,3093581000.0,281190000.0,24.91,-3.24,10.76,0.0,0.0,NO,1.08,Earn,11.67,0.0932,positive,0.163,positive,0.0426,positive,0.10400000000000001,1370598000.0,731727000.0,1.08,0.6559999999999999,positive,0.20600000000000002,41.6,24.91,22.17,2.2569999999999997,2.6189999999999998,3.1069999999999998,11.7,1.079,40.31,25.93,31.06,32.26,115003000
ACLS,Axcelis Technologies Inc,1113232,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC",December,2021-12-31,1777918000.0,132843000.0,18.6,1.23,16.21,0.0,0.0,NO,2.88,Earn,19.74,0.149,positive,0.192,positive,0.11599999999999999,positive,0.193,662428000.0,286445000.0,2.88,1.5130000000000001,positive,0.6829999999999999,84.67,18.6,12.97,2.6839999999999997,3.3760000000000003,2.373,11.55,1.557,83.74,33.36,66.85,57.79,33182500
ACMR,ACM Research Inc,1680062,TECHNOLOGY,"SPECIAL INDUSTRY MACHINERY, NEC",December,2021-12-31,920847000.0,41055000.0,25.54,,11.52,0.0,0.0,NO,0.5760000000000001,Earn,4.505,0.145,positive,0.149,positive,0.0347,positive,0.0842,259751000.0,114856000.0,0.5760000000000001,0.764,positive,1.088,39.8,25.54,29.59,3.545,1.369,1.433,8.06,0.5529999999999999,39.71,14.07,21.68,28.16,53650000
ACN,Accenture plc,1467373,TRADE & SERVICES,"SERVICES-BUSINESS SERVICES, NEC",August,2022-02-28,192000000000.0,9511400000.0,30.55,2.319,32.46,3.79,0.0122,YES,9.92,Earn,89.46,0.113,positive,0.151,positive,0.127,positive,0.324,56694923000.0,16364128000.0,9.92,0.139,positive,0.245,380.96,30.55,28.74,3.389,9.57,3.438,18.52,1.235,415.05,273.76,322.92,342.3,633401000
