symbol,last_refreshed,output_size,timezone,timestamp,open,high,low,close,volume
AAPL,2022-04-27,Full size,US/Eastern,2022-04-27,155.9100,159.7900,155.3800,156.5700,88063191
AAPL,2022-04-27,Full size,US/Eastern,2022-04-26,162.2500,162.3400,156.7200,156.8000,94008394
AAPL,2022-04-27,Full size,US/Eastern,2022-04-25,161.1200,163.1700,158.4600,162.8800,96046376
AAPL,2022-04-27,Full size,US/Eastern,2022-04-22,166.4600,167.8699,161.5000,161.7900,84882424
AAPL,2022-04-27,Full size,US/Eastern,2022-04-21,168.9100,171.5300,165.9100,166.4200,87227768
AAPL,2022-04-27,Full size,US/Eastern,2022-04-20,168.7600,168.8800,166.1000,167.2300,67718110
AAPL,2022-04-27,Full size,US/Eastern,2022-04-19,165.0200,167.8200,163.9100,167.4000,67723833
AAPL,2022-04-27,Full size,US/Eastern,2022-04-18,163.9200,166.5984,163.5700,165.0700,69023941
AAPL,2022-04-27,Full size,US/Eastern,2022-04-14,170.6200,171.2700,165.0400,165.2900,75329376
AAPL,2022-04-27,Full size,US/Eastern,2022-04-13,167.3900,171.0400,166.7700,170.4000,70618925
AAPL,2022-04-27,Full size,US/Eastern,2022-04-12,168.0200,169.8700,166.6400,167.6600,79265181
AAPL,2022-04-27,Full size,US/Eastern,2022-04-11,168.7100,169.0300,165.5000,165.7500,72246706
AAPL,2022-04-27,Full size,US/Eastern,2022-04-08,171.7800,171.7800,169.2000,170.0900,76575508
AAPL,2022-04-27,Full size,US/Eastern,2022-04-07,171.1600,173.3600,169.8500,172.1400,77594650
AAPL,2022-04-27,Full size,US/Eastern,2022-04-06,172.3600,173.6300,170.1300,171.8300,89058782
AAPL,2022-04-27,Full size,US/Eastern,2022-04-05,177.5000,178.3000,174.4150,175.0600,70902999
AAPL,2022-04-27,Full size,US/Eastern,2022-04-04,174.5700,178.4900,174.4400,178.4400,76545983
AAPL,2022-04-27,Full size,US/Eastern,2022-04-01,174.0300,174.8800,171.9400,174.3100,78751328
AAPL,2022-04-27,Full size,US/Eastern,2022-03-31,177.8400,178.0300,174.4000,174.6100,103049285
AAPL,2022-04-27,Full size,US/Eastern,2022-03-30,178.5500,179.6100,176.7000,177.7700,92633154
AAPL,2022-04-27,Full size,US/Eastern,2022-03-29,176.6900,179.0100,176.3400,178.9600,100589440
AAPL,2022-04-27,Full size,US/Eastern,2022-03-28,172.1700,175.7300,172.0000,175.6000,90371916
AAPL,2022-04-27,Full size,US/Eastern,2022-03-25,173.8800,175.2800,172.7500,174.7200,80281664
AAPL,2022-04-27,Full size,US/Eastern,2022-03-24,171.0600,174.1400,170.2100,174.0700,90131418
AAPL,2022-04-27,Full size,US/Eastern,2022-03-23,167.9900,172.6400,167.6500,170.2100,98062674
AAPL,2022-04-27,Full size,US/Eastern,2022-03-22,165.5100,169.4200,164.9100,168.8200,80979755
AAPL,2022-04-27,Full size,US/Eastern,2022-03-21,163.5100,166.3500,163.0150,165.3800,89029269
AAPL,2022-04-27,Full size,US/Eastern,2022-03-18,160.5100,164.4800,159.7600,163.9800,122055535
AAPL,2022-04-27,Full size,US/Eastern,2022-03-17,158.6100,161.0000,157.6300,160.6200,75615376
AAPL,2022-04-27,Full size,US/Eastern,2022-03-16,157.0500,160.0000,154.4600,159.5900,102300157
AAPL,2022-04-27,Full size,US/Eastern,2022-03-15,150.9000,155.5700,150.3800,155.0900,92964302
AAPL,2022-04-27,Full size,US/Eastern,2022-03-14,151.4500,154.1200,150.1000,150.6200,108732111
AAPL,2022-04-27,Full size,US/Eastern,2022-03-11,158.9300,159.2800,154.5000,154.7300,96970102
AAPL,2022-04-27,Full size,US/Eastern,2022-03-10,160.2000,160.3900,155.9800,158.5200,105342033
AAPL,2022-04-27,Full size,US/Eastern,2022-03-09,161.4750,163.4100,159.4100,162.9500,91454905
AAPL,2022-04-27,Full size,US/Eastern,2022-03-08,158.8200,162.8800,155.8000,157.4400,131148280
AAPL,2022-04-27,Full size,US/Eastern,2022-03-07,163.3600,165.0200,159.0400,159.3000,96418845
AAPL,2022-04-27,Full size,US/Eastern,2022-03-04,164.4900,165.5500,162.1000,163.1700,83819592
AAPL,2022-04-27,Full size,US/Eastern,2022-03-03,168.4700,168.9100,165.5500,166.2300,76678441
AAPL,2022-04-27,Full size,US/Eastern,2022-03-02,164.3900,167.3600,162.9500,166.5600,79724750
AAPL,2022-04-27,Full size,US/Eastern,2022-03-01,164.6950,166.6000,161.9700,163.2000,83474425
AAPL,2022-04-27,Full size,US/Eastern,2022-02-28,163.0600,165.4200,162.4300,165.1200,95056629
AAPL,2022-04-27,Full size,US/Eastern,2022-02-25,163.8400,165.1200,160.8738,164.8500,91974222
AAPL,2022-04-27,Full size,US/Eastern,2022-02-24,152.5800,162.8500,152.0000,162.7400,141147540
AAPL,2022-04-27,Full size,US/Eastern,2022-02-23,165.5400,166.1500,159.7500,160.0700,90009247
AAPL,2022-04-27,Full size,US/Eastern,2022-02-22,164.9800,166.6900,162.1500,164.3200,90457637
AAPL,2022-04-27,Full size,US/Eastern,2022-02-18,169.8200,170.5413,166.1900,167.3000,82772674
AAPL,2022-04-27,Full size,US/Eastern,2022-02-17,171.0300,171.9100,168.4700,168.8800,69589344
AAPL,2022-04-27,Full size,US/Eastern,2022-02-16,171.8500,173.3400,170.0500,172.5500,61177398
AAPL,2022-04-27,Full size,US/Eastern,2022-02-15,170.9700,172.9500,170.2500,172.7900,64286320
